GeoFips,GeoName,LineCode,Description,gdp2018,gdp2017,gdp2016,gdp2015,gdp2014,gdp2013,gdp2012,gdp2011,gdp2010,gdp2009,gdp2008,gdp2007
13000,Georgia,50,"    Finance, insurance, real estate, rental, and leasing",121853248,115253856,107354538,102068836,97740963,90277835,86132483,81394750,78440017,76858324,76734174,75506851
13000,Georgia,51,      Finance and insurance,47785141,45523649,44036181,42059462,41451691,35853376,33827303,31942671,30464562,28791652,28471409,29012375
13000,Georgia,56,      Real estate and rental and leasing,74068107,69730208,63318357,60009374,56289272,54424459,52305180,49452079,47975454,48066672,48262766,46494476
13000,Georgia,59,    Professional and business services,72818055,68496977,64996036,62627914,59214058,55513769,53524543,50414692,47877246,46437951,48438713,46315829
13000,Georgia,60,"      Professional, scientific, and technical services",39758028,37920560,36574753,35207743,33190571,31132019,30555599,28697345,27242977,26770145,28040910,25578644
13000,Georgia,64,      Management of companies and enterprises,12096428,10719143,9917151,9759926,9013688,8275773,7884169,7095804,6748080,6438170,6328372,6633584
13000,Georgia,65,      Administrative and support and waste management and remediation services,20963599,19857274,18504132,17660245,17009799,16105978,15084775,14621543,13886189,13229635,14069431,14103601
13000,Georgia,68,"    Educational services, health care, and social assistance",45264613,42796584,41526701,38943796,37036578,36151436,34458420,33053324,31934980,31196448,28938761,26904692
13000,Georgia,69,      Educational services,6635180,6344381,6312535,5959968,5903636,5699073,5550961,5355880,5211276,4974865,4430220,4011774
13000,Georgia,70,      Health care and social assistance,38629434,36452203,35214166,32983828,31132942,30452364,28907460,27697443,26723703,26221583,24508541,22892919
13000,Georgia,75,"    Arts, entertainment, recreation, accommodation, and food services",19577779,18644156,17692335,17147734,16707746,15568795,14985592,14076714,13358946,12936017,13107297,13085808
13000,Georgia,76,"      Arts, entertainment, and recreation",3636816,3467266,3220828,3025689,3124505,2962705,2994156,2841129,2585369,2355225,2244142,2203905
13000,Georgia,79,      Accommodation and food services,15940963,15176890,14471507,14122044,13583241,12606091,11991436,11235585,10773577,10580793,10863154,10881903
