area_fips,own_code,year,annual_avg_estabs,annual_avg_emplvl,total_annual_wages
13000,0,2017,273853,4346453,226835537083
13000,1,2017,1623,101061,7695299895
13000,2,2017,2732,142920,6839160883
13000,3,2017,3939,403012,16659291565
13000,5,2017,265558,3699460,195641784740
