"","NAICS2","FIPS/13001/Appling","FIPS/13003/Atkinson","FIPS/13005/Bacon","FIPS/13007/Baker","FIPS/13009/Baldwin","FIPS/13011/Banks","FIPS/13013/Barrow","FIPS/13015/Bartow","FIPS/13017/Ben Hill","FIPS/13019/Berrien","FIPS/13021/Bibb","FIPS/13023/Bleckley","FIPS/13025/Brantley","FIPS/13027/Brooks","FIPS/13029/Bryan","FIPS/13031/Bulloch","FIPS/13033/Burke","FIPS/13035/Butts","FIPS/13037/Calhoun","FIPS/13039/Camden","FIPS/13043/Candler","FIPS/13045/Carroll","FIPS/13047/Catoosa","FIPS/13049/Charlton","FIPS/13051/Chatham","FIPS/13053/Chattahoochee","FIPS/13055/Chattooga","FIPS/13057/Cherokee","FIPS/13059/Clarke","FIPS/13061/Clay","FIPS/13063/Clayton","FIPS/13065/Clinch","FIPS/13067/Cobb","FIPS/13069/Coffee","FIPS/13071/Colquitt","FIPS/13073/Columbia","FIPS/13075/Cook","FIPS/13077/Coweta","FIPS/13079/Crawford","FIPS/13081/Crisp","FIPS/13083/Dade","FIPS/13085/Dawson","FIPS/13087/Decatur","FIPS/13089/De Kalb","FIPS/13091/Dodge","FIPS/13093/Dooly","FIPS/13095/Dougherty","FIPS/13097/Douglas","FIPS/13099/Early","FIPS/13101/Echols","FIPS/13103/Effingham","FIPS/13105/Elbert","FIPS/13107/Emanuel","FIPS/13109/Evans","FIPS/13111/Fannin","FIPS/13113/Fayette","FIPS/13115/Floyd","FIPS/13117/Forsyth","FIPS/13119/Franklin","FIPS/13121/Fulton","FIPS/13123/Gilmer","FIPS/13125/Glascock","FIPS/13127/Glynn","FIPS/13129/Gordon","FIPS/13131/Grady","FIPS/13133/Greene","FIPS/13135/Gwinnett","FIPS/13137/Habersham","FIPS/13139/Hall","FIPS/13141/Hancock","FIPS/13143/Haralson","FIPS/13145/Harris","FIPS/13147/Hart","FIPS/13149/Heard","FIPS/13151/Henry","FIPS/13153/Houston","FIPS/13155/Irwin","FIPS/13157/Jackson","FIPS/13159/Jasper","FIPS/13161/Jeff Davis","FIPS/13163/Jefferson","FIPS/13165/Jenkins","FIPS/13167/Johnson","FIPS/13169/Jones","FIPS/13171/Lamar","FIPS/13173/Lanier","FIPS/13175/Laurens","FIPS/13177/Lee","FIPS/13179/Liberty","FIPS/13181/Lincoln","FIPS/13183/Long","FIPS/13185/Lowndes","FIPS/13187/Lumpkin","FIPS/13189/McDuffie","FIPS/13191/McIntosh","FIPS/13193/Macon","FIPS/13195/Madison","FIPS/13197/Marion","FIPS/13199/Meriwether","FIPS/13201/Miller","FIPS/13205/Mitchell","FIPS/13207/Monroe","FIPS/13209/Montgomery","FIPS/13211/Morgan","FIPS/13213/Murray","FIPS/13215/Muscogee","FIPS/13217/Newton","FIPS/13219/Oconee","FIPS/13221/Oglethorpe","FIPS/13223/Paulding","FIPS/13225/Peach","FIPS/13227/Pickens","FIPS/13229/Pierce","FIPS/13231/Pike","FIPS/13233/Polk","FIPS/13235/Pulaski","FIPS/13237/Putnam","FIPS/13239/Quitman","FIPS/13241/Rabun","FIPS/13243/Randolph","FIPS/13245/Richmond","FIPS/13247/Rockdale","FIPS/13249/Schley","FIPS/13251/Screven","FIPS/13253/Seminole","FIPS/13255/Spalding","FIPS/13257/Stephens","FIPS/13259/Stewart","FIPS/13261/Sumter","FIPS/13263/Talbot","FIPS/13265/Taliaferro","FIPS/13267/Tattnall","FIPS/13269/Taylor","FIPS/13271/Telfair","FIPS/13273/Terrell","FIPS/13275/Thomas","FIPS/13277/Tift","FIPS/13279/Toombs","FIPS/13281/Towns","FIPS/13283/Treutlen","FIPS/13285/Troup","FIPS/13287/Turner","FIPS/13289/Twiggs","FIPS/13291/Union","FIPS/13293/Upson","FIPS/13295/Walker","FIPS/13297/Walton","FIPS/13299/Ware","FIPS/13301/Warren","FIPS/13303/Washington","FIPS/13305/Wayne","FIPS/13307/Webster","FIPS/13309/Wheeler","FIPS/13311/White","FIPS/13313/Whitfield","FIPS/13315/Wilcox","FIPS/13317/Wilkes","FIPS/13319/Wilkinson","FIPS/13321/Worth"
"11","53",16,5,4,4,108,6,263,383,22,17,1443,15,6,6,66,400,17,93,3,215,10,292,129,4,2002,28,19,676,1034,2,1440,5,6527,108,86,344,15,312,4,109,10,62,90,3977,59,3,472,459,9,3,124,15,24,6,64,383,278,640,21,20417,73,5,425,103,110,125,5682,82,487,28,15,28,14,11,700,403,5,839,8,11,50,5,4,8,5,4,115,46,325,27,12,866,45,31,4,19,25,10,19,24,54,50,20,44,31,1498,139,207,4,231,47,146,10,8,77,11,32,7,48,10,985,404,2,5,16,175,52,8,90,3,1,37,8,28,17,151,127,42,82,4,226,3,7,49,25,26,186,120,7,20,53,0,10,56,286,3,5,4,13
"12","54",62,7,49,5,125,38,383,1225,70,77,3309,25,11,26,238,609,169,115,14,3231,59,2326,216,10,5182,888,81,2595,1616,34,1419,28,29158,298,391,1434,65,1004,31,166,101,200,175,17667,66,17,2646,772,107,3,488,80,123,60,198,2026,768,5396,99,92969,172,6,950,264,117,114,25319,414,1749,15,181,173,140,28,1354,3290,68,669,22,52,78,24,13,181,48,11,358,218,543,24,6,1232,637,122,36,31,77,13,21,24,282,263,9,156,148,4149,522,642,23,570,101,186,164,52,160,43,90,4,97,25,4378,855,6,53,25,983,122,5,134,9,0,138,10,170,30,431,619,474,137,14,757,33,9,147,167,384,645,503,12,217,371,0,6,258,2557,9,30,26,35
"13","55",0,0,34,0,13,0,46,48,30,65,2208,0,0,0,23,46,64,26,0,70,0,541,74,0,1042,54,0,52,312,0,512,17,12714,74,194,363,32,81,0,36,0,72,40,7246,70,0,227,174,148,0,176,103,0,0,25,152,147,583,64,19420,0,0,66,20,26,0,8706,256,708,0,15,27,0,0,400,106,0,61,0,65,66,0,0,90,58,0,178,0,199,0,0,208,91,0,19,0,33,0,0,0,25,37,20,39,173,1337,157,518,0,40,0,22,37,16,30,0,16,0,21,0,317,52,0,0,14,264,556,0,129,0,0,87,102,94,20,31,62,48,0,29,249,0,0,95,29,74,25,227,0,175,157,0,0,29,653,0,0,0,16
"14","56",88,13,165,0,649,177,770,1348,502,133,4552,58,10,29,246,998,375,240,29,501,30,2462,410,124,10209,317,102,2991,3080,0,10155,35,29924,1220,347,2395,274,3094,27,247,32,346,125,19952,239,18,3018,4191,134,26,639,218,167,138,243,1269,1672,6173,324,71811,127,0,2169,1398,167,164,28366,531,4755,118,134,182,351,127,4462,1565,50,1402,131,133,70,98,26,90,171,21,1122,791,520,16,5,2718,202,162,35,23,137,61,69,32,68,882,27,512,404,4435,1762,510,121,1279,502,299,92,95,620,53,91,11,182,12,9068,2114,33,55,113,2649,385,27,448,19,0,179,23,107,36,2907,876,792,58,38,5697,22,16,302,252,551,1357,606,25,277,137,11,52,172,1819,34,73,226,54
"15","61",779,282,419,19,2471,548,1948,2618,587,92,6170,401,430,380,1242,3175,813,537,157,1380,155,3092,1793,258,6473,94,611,6204,3925,23,7821,191,22973,1640,1209,3770,316,3606,312,806,648,347,829,37116,150,450,5490,3839,504,27,999,438,842,419,649,3660,4146,5650,604,67206,654,24,1885,1377,784,449,27467,1858,6487,124,816,752,656,285,6143,4800,280,1884,100,324,420,51,256,953,550,166,1751,718,2142,130,58,4655,527,655,300,346,842,197,651,181,724,899,208,549,926,7240,3152,1115,392,3393,956,724,153,567,1007,558,596,34,552,266,7182,2820,50,467,265,2040,728,126,1501,30,14,863,254,347,293,2194,4032,1192,246,182,2580,70,274,916,710,1622,2407,980,190,679,1016,35,54,650,3065,224,248,296,541
"16","62",861,46,269,31,3244,103,1555,2538,382,330,15415,167,154,360,735,3394,1088,483,87,1115,286,5236,1938,124,20788,51,322,5879,10839,104,8445,156,37305,2095,1855,3169,483,5192,155,1142,331,481,1242,47022,909,376,8192,4338,373,18,974,452,927,278,584,6105,8165,7716,629,84020,731,31,4771,1708,467,750,28399,766,12493,241,690,416,434,110,6263,6836,172,1146,246,202,335,162,346,805,359,58,3794,600,2504,55,35,5811,780,769,45,224,195,117,564,189,484,704,79,313,410,17111,2232,1137,101,2225,685,1303,399,121,843,349,631,22,370,331,25782,3946,33,240,402,4387,1097,279,1876,20,10,565,362,242,129,3690,1659,2015,747,118,3437,172,112,1534,1236,963,1937,2965,68,745,751,12,81,547,5410,78,417,148,200
"17","71",54,5,14,0,84,70,32,455,20,11,457,27,19,28,45,196,43,36,7,107,25,199,281,12,2085,18,6,1033,611,0,225,6,4190,108,54,497,11,355,0,34,16,140,32,3252,9,0,314,334,25,0,24,28,22,0,51,647,190,1109,8,13943,24,6,1303,54,17,73,3599,97,861,0,40,53,71,0,688,582,36,100,28,0,11,0,0,36,22,10,100,27,160,17,0,980,40,34,4,9,3,0,19,9,11,112,0,28,19,816,127,142,6,177,25,18,36,20,53,28,47,0,66,7,1795,167,6,9,13,97,105,10,47,0,0,0,17,32,7,158,38,42,63,0,207,0,12,21,10,281,102,34,0,15,30,0,0,83,195,0,17,7,13
"18","72",940,41,200,0,1796,783,1767,3529,465,248,8085,327,183,97,823,3364,637,413,50,1782,417,4221,1925,170,20974,154,283,6678,7786,15,10766,96,31699,1146,881,3804,454,4113,29,1553,280,975,572,22788,408,100,4805,4644,419,0,938,396,372,180,936,5553,3514,6638,793,77353,1147,16,7034,1396,304,1027,30207,1510,6256,20,371,402,468,35,7035,6275,105,1436,129,232,406,139,52,343,381,125,1630,220,2034,99,78,6357,1197,536,376,170,122,35,307,122,275,573,125,1021,559,11508,2174,1107,48,3323,775,821,430,88,1072,240,539,11,775,134,10687,3297,34,169,115,1872,639,72,994,10,14,163,61,381,152,1496,2428,929,541,47,2385,226,33,573,609,830,2006,1425,26,477,664,0,54,1171,3237,27,190,31,223
"19","81",132,18,79,3,308,38,455,625,103,37,1832,30,25,226,304,464,79,153,3,288,53,715,369,20,4311,36,76,1764,1672,17,1784,16,8559,253,409,1118,64,992,25,160,180,165,226,7891,72,54,1608,1046,46,3,389,86,62,60,140,1793,817,1529,319,22255,181,2,1128,200,123,82,8183,156,1441,15,133,59,82,22,1225,1012,8,400,14,21,78,17,22,65,76,16,379,119,496,19,14,1044,78,175,53,40,40,11,147,23,91,133,11,298,87,2657,406,378,33,528,138,279,73,54,420,17,63,11,207,16,2853,654,27,80,78,444,173,18,173,19,4,165,26,47,27,575,335,233,19,26,819,15,16,130,218,336,341,502,13,126,190,7,3,211,835,5,55,62,88
"20","92",327,137,381,154,1240,317,870,1587,220,368,3860,526,316,215,635,1423,503,1014,208,2831,364,1546,660,317,8117,267,591,2251,3534,173,5798,210,9912,676,643,1769,403,1638,264,541,299,191,729,15530,840,699,3025,1668,397,99,313,346,483,392,363,407,2197,323,660,39562,530,216,3634,524,494,321,7208,889,2584,558,546,446,346,316,1795,15803,302,1252,442,220,445,266,261,182,381,374,933,470,2805,133,458,3462,653,503,205,622,227,106,439,401,834,1442,277,376,459,5971,479,372,115,380,637,298,253,321,385,454,431,85,437,234,6936,1373,259,361,168,1342,420,266,815,170,78,820,150,674,249,962,862,588,389,228,901,440,223,360,372,733,595,1224,136,969,779,123,486,492,1778,367,259,177,364
