"","NAICS2","FIPS/13001/Appling","FIPS/13003/Atkinson","FIPS/13005/Bacon","FIPS/13007/Baker","FIPS/13009/Baldwin","FIPS/13011/Banks","FIPS/13013/Barrow","FIPS/13015/Bartow","FIPS/13017/Ben Hill","FIPS/13019/Berrien","FIPS/13021/Bibb","FIPS/13023/Bleckley","FIPS/13025/Brantley","FIPS/13027/Brooks","FIPS/13029/Bryan","FIPS/13031/Bulloch","FIPS/13033/Burke","FIPS/13035/Butts","FIPS/13037/Calhoun","FIPS/13039/Camden","FIPS/13043/Candler","FIPS/13045/Carroll","FIPS/13047/Catoosa","FIPS/13049/Charlton","FIPS/13051/Chatham","FIPS/13053/Chattahoochee","FIPS/13055/Chattooga","FIPS/13057/Cherokee","FIPS/13059/Clarke","FIPS/13061/Clay","FIPS/13063/Clayton","FIPS/13065/Clinch","FIPS/13067/Cobb","FIPS/13069/Coffee","FIPS/13071/Colquitt","FIPS/13073/Columbia","FIPS/13075/Cook","FIPS/13077/Coweta","FIPS/13079/Crawford","FIPS/13081/Crisp","FIPS/13083/Dade","FIPS/13085/Dawson","FIPS/13087/Decatur","FIPS/13089/De Kalb","FIPS/13091/Dodge","FIPS/13093/Dooly","FIPS/13095/Dougherty","FIPS/13097/Douglas","FIPS/13099/Early","FIPS/13101/Echols","FIPS/13103/Effingham","FIPS/13105/Elbert","FIPS/13107/Emanuel","FIPS/13109/Evans","FIPS/13111/Fannin","FIPS/13113/Fayette","FIPS/13115/Floyd","FIPS/13117/Forsyth","FIPS/13119/Franklin","FIPS/13121/Fulton","FIPS/13123/Gilmer","FIPS/13125/Glascock","FIPS/13127/Glynn","FIPS/13129/Gordon","FIPS/13131/Grady","FIPS/13133/Greene","FIPS/13135/Gwinnett","FIPS/13137/Habersham","FIPS/13139/Hall","FIPS/13141/Hancock","FIPS/13143/Haralson","FIPS/13145/Harris","FIPS/13147/Hart","FIPS/13149/Heard","FIPS/13151/Henry","FIPS/13153/Houston","FIPS/13155/Irwin","FIPS/13157/Jackson","FIPS/13159/Jasper","FIPS/13161/Jeff Davis","FIPS/13163/Jefferson","FIPS/13165/Jenkins","FIPS/13167/Johnson","FIPS/13169/Jones","FIPS/13171/Lamar","FIPS/13173/Lanier","FIPS/13175/Laurens","FIPS/13177/Lee","FIPS/13179/Liberty","FIPS/13181/Lincoln","FIPS/13183/Long","FIPS/13185/Lowndes","FIPS/13187/Lumpkin","FIPS/13189/McDuffie","FIPS/13191/McIntosh","FIPS/13193/Macon","FIPS/13195/Madison","FIPS/13197/Marion","FIPS/13199/Meriwether","FIPS/13201/Miller","FIPS/13205/Mitchell","FIPS/13207/Monroe","FIPS/13209/Montgomery","FIPS/13211/Morgan","FIPS/13213/Murray","FIPS/13215/Muscogee","FIPS/13217/Newton","FIPS/13219/Oconee","FIPS/13221/Oglethorpe","FIPS/13223/Paulding","FIPS/13225/Peach","FIPS/13227/Pickens","FIPS/13229/Pierce","FIPS/13231/Pike","FIPS/13233/Polk","FIPS/13235/Pulaski","FIPS/13237/Putnam","FIPS/13239/Quitman","FIPS/13241/Rabun","FIPS/13243/Randolph","FIPS/13245/Richmond","FIPS/13247/Rockdale","FIPS/13249/Schley","FIPS/13251/Screven","FIPS/13253/Seminole","FIPS/13255/Spalding","FIPS/13257/Stephens","FIPS/13259/Stewart","FIPS/13261/Sumter","FIPS/13263/Talbot","FIPS/13265/Taliaferro","FIPS/13267/Tattnall","FIPS/13269/Taylor","FIPS/13271/Telfair","FIPS/13273/Terrell","FIPS/13275/Thomas","FIPS/13277/Tift","FIPS/13279/Toombs","FIPS/13281/Towns","FIPS/13283/Treutlen","FIPS/13285/Troup","FIPS/13287/Turner","FIPS/13289/Twiggs","FIPS/13291/Union","FIPS/13293/Upson","FIPS/13295/Walker","FIPS/13297/Walton","FIPS/13299/Ware","FIPS/13301/Warren","FIPS/13303/Washington","FIPS/13305/Wayne","FIPS/13307/Webster","FIPS/13309/Wheeler","FIPS/13311/White","FIPS/13313/Whitfield","FIPS/13315/Wilcox","FIPS/13317/Wilkes","FIPS/13319/Wilkinson","FIPS/13321/Worth"
"1","11",362,66,265,90,12,399,27,83,420,126,132,81,101,525,24,649,206,24,109,24,83,184,33,104,2860,12,57,122,502,26,176,396,37,391,1656,35,189,298,88,178,5,25,543,85,81,115,330,39,241,481,160,36,150,105,5,23,83,75,156,192,40,11,474,178,568,338,1465,135,982,10,10,28,100,64,58,202,141,139,41,238,270,99,61,82,53,312,25,149,68,115,29,1123,124,312,26,128,38,62,109,43,484,141,121,124,46,654,47,137,162,46,349,55,177,18,20,119,329,5,34,285,1097,91,12,172,221,75,31,54,363,43,17,751,35,96,117,665,590,804,39,28,103,51,16,76,21,67,112,326,12,75,105,34,108,86,105,30,125,72,296
"2","21",0,8,18,0,7,0,13,98,0,18,47,0,15,0,0,55,0,0,11,0,0,95,13,16,0,0,0,47,132,0,116,0,82,0,0,8,17,50,29,0,0,0,24,199,19,0,0,46,0,0,56,191,18,0,0,72,26,80,0,135,56,9,314,0,0,14,1054,23,286,23,0,0,0,15,91,23,0,32,0,0,88,20,0,47,16,0,0,19,0,0,22,91,95,13,10,14,25,15,0,0,0,38,0,0,15,510,14,18,88,30,0,74,0,8,47,0,0,0,11,0,930,105,0,0,0,35,25,0,92,83,0,0,14,0,0,55,0,0,92,0,60,0,9,101,0,20,9,0,19,210,0,13,0,16,55,0,13,1088,0
"3","22",204,13,61,0,36,0,52,96,0,60,247,0,0,24,41,377,177,97,19,59,67,210,45,56,330,50,79,51,1136,15,818,31,1123,51,108,43,59,385,0,0,22,22,125,938,65,62,229,53,0,18,130,0,30,21,22,93,417,206,74,3351,64,0,123,44,49,14,483,157,145,80,27,49,133,130,381,273,34,141,0,60,152,67,0,83,87,27,99,33,163,21,0,163,27,64,35,24,45,25,18,0,46,202,0,18,26,242,73,92,15,53,0,64,33,28,83,26,194,0,49,19,220,109,0,0,25,0,43,28,79,10,0,81,71,43,18,28,148,137,53,0,52,23,0,15,54,0,170,66,17,80,37,0,35,80,188,17,23,0,15
"4","23",398,6,50,3,347,174,1024,1659,65,78,1925,149,163,67,457,1010,93,192,17,419,182,2105,497,51,5117,82,163,3965,1419,10,2743,67,22035,889,421,2146,212,1220,87,139,86,221,323,10032,117,82,1684,1855,123,44,406,89,104,206,347,2846,779,5832,121,16730,185,3,1236,742,231,705,18124,428,3336,18,337,307,254,170,1805,1077,82,766,195,27,175,24,57,483,48,35,730,758,672,232,34,2298,260,307,63,91,253,38,235,45,86,448,71,285,100,2868,1306,429,135,1950,357,354,308,320,364,63,417,5,278,53,3995,2924,22,127,9,469,588,12,210,188,2,218,110,64,50,453,492,462,105,16,1430,10,43,239,284,201,2393,476,8,338,632,5,34,541,1050,30,98,232,161
"5","31-33",629,928,993,13,1645,276,2196,9270,1258,916,5521,29,177,199,384,1795,649,1009,38,705,104,6425,2001,306,15467,98,2754,4228,5924,0,4203,805,18169,2746,2475,2718,430,4797,39,828,586,679,691,13092,411,618,3191,3877,752,0,1441,1773,1604,1841,299,3118,5936,8569,1371,25755,1380,0,1988,8563,565,400,25246,4046,18566,79,1604,977,1599,574,3001,5137,144,5385,377,1470,743,15,124,49,634,119,1982,246,1986,75,38,3949,719,1495,70,507,202,323,569,16,2548,180,148,1136,4160,6375,4580,447,92,913,2367,770,402,406,3374,102,397,44,398,37,7238,5291,323,886,189,2607,2041,55,1474,0,18,171,62,258,407,2567,1222,1252,98,6,10918,309,32,317,1252,4236,2496,1551,385,518,1261,23,0,819,18313,34,543,285,349
"6","42",329,104,88,10,105,141,2400,1853,104,135,2501,39,40,426,322,1465,629,101,66,296,132,1258,791,47,5078,13,96,1959,3016,8,7041,98,23246,636,541,541,102,1503,22,526,42,493,424,12453,144,179,1884,2195,403,33,245,434,290,56,246,2021,1735,5440,241,39944,92,0,971,1041,421,122,30593,196,3855,21,282,133,230,27,3423,627,27,2087,31,297,178,15,39,151,95,14,443,340,66,51,10,953,206,133,34,109,64,26,351,154,203,183,151,288,225,2425,680,399,32,466,193,156,395,102,164,204,151,0,30,39,2882,1194,72,49,102,699,259,29,341,8,2,303,12,84,239,912,1224,652,98,55,1140,210,17,138,70,198,486,400,369,178,74,18,27,160,3502,14,66,24,242
"7","44-45",1014,160,320,38,2309,598,3005,3716,709,385,12858,460,190,257,1013,3316,765,854,101,2282,449,5839,2867,188,18149,112,709,9309,7853,49,10581,151,40021,2040,1847,5193,448,5572,105,1158,433,2991,1290,33603,674,290,5679,6829,441,26,1285,582,773,374,1063,6647,4935,8117,859,61126,1135,23,5172,2198,773,706,47335,1790,8735,77,653,244,889,87,9618,6744,211,2601,186,750,585,145,151,413,406,115,2520,708,1968,137,46,6788,902,950,315,242,429,107,435,232,833,607,156,898,905,11106,2980,1297,123,4099,954,1136,495,329,1824,282,718,84,952,183,11380,4344,97,365,309,2608,1191,41,1398,30,7,551,151,312,313,2132,2711,1700,412,213,4195,271,78,1087,965,1318,3322,2374,104,737,1121,61,65,1150,7332,118,351,154,374
"8","48-49",382,99,496,45,169,39,574,2330,245,213,3447,123,239,87,467,1245,434,474,134,249,138,720,536,135,11640,40,197,1278,9468,26,41360,101,12338,1161,863,503,289,854,87,324,97,237,498,14930,434,235,1863,2183,58,10,463,127,413,138,374,2352,717,2781,913,40499,295,57,1560,1254,435,120,9449,534,3099,71,242,141,71,43,4080,934,111,1243,48,317,243,179,160,163,86,91,768,224,950,116,65,3152,195,246,57,132,177,46,246,63,279,386,67,233,261,1676,1329,453,48,1515,580,343,359,127,437,87,469,38,73,155,2941,566,7,86,141,419,348,63,446,53,14,508,130,384,107,272,1010,289,80,68,1779,150,182,398,82,188,1303,569,64,607,369,127,70,383,3768,118,259,294,160
"9","51",31,0,35,7,112,7,131,223,52,49,1452,0,29,15,47,256,20,13,0,132,114,821,54,16,2249,28,22,639,1152,8,522,13,7878,116,95,361,43,1021,14,38,41,56,81,11307,53,0,728,235,39,0,21,34,51,37,59,308,800,822,105,45489,129,0,501,103,48,11,10461,400,715,46,32,16,102,30,522,279,7,92,55,51,38,0,0,70,31,15,201,38,91,0,0,1658,25,89,41,27,16,21,41,13,39,16,0,59,15,1231,376,110,27,192,116,57,30,24,68,30,73,0,28,20,2182,1067,0,70,14,153,91,16,120,0,5,32,40,23,31,102,233,97,61,0,408,13,9,75,71,67,141,163,0,46,100,13,40,71,224,10,39,18,34
"10","52",137,58,103,7,322,25,236,645,188,104,7469,126,28,78,253,505,153,102,27,423,180,638,456,78,3389,15,86,1560,1810,8,1484,22,14896,286,372,1035,95,674,36,240,102,148,296,12067,142,62,1092,1064,118,5,148,196,185,48,158,920,915,1493,113,49385,150,5,693,327,358,173,17162,274,2160,34,165,71,119,21,1040,1011,76,369,55,84,104,30,66,98,112,38,429,126,335,44,8,952,98,138,19,46,74,35,121,93,146,159,88,170,170,10048,324,365,41,321,112,221,99,64,153,87,145,19,129,31,1754,885,5,103,67,417,174,40,193,11,5,185,35,88,109,605,414,247,77,37,927,82,5,143,250,404,349,324,6,184,188,6,20,142,630,44,106,17,71
