"","NAICS2","FIPS/13001/Appling","FIPS/13003/Atkinson","FIPS/13005/Bacon","FIPS/13007/Baker","FIPS/13009/Baldwin","FIPS/13011/Banks","FIPS/13013/Barrow","FIPS/13015/Bartow","FIPS/13017/Ben Hill","FIPS/13019/Berrien","FIPS/13021/Bibb","FIPS/13023/Bleckley","FIPS/13025/Brantley","FIPS/13027/Brooks","FIPS/13029/Bryan","FIPS/13031/Bulloch","FIPS/13033/Burke","FIPS/13035/Butts","FIPS/13037/Calhoun","FIPS/13039/Camden","FIPS/13043/Candler","FIPS/13045/Carroll","FIPS/13047/Catoosa","FIPS/13049/Charlton","FIPS/13051/Chatham","FIPS/13053/Chattahoochee","FIPS/13055/Chattooga","FIPS/13057/Cherokee","FIPS/13059/Clarke","FIPS/13061/Clay","FIPS/13063/Clayton","FIPS/13065/Clinch","FIPS/13067/Cobb","FIPS/13069/Coffee","FIPS/13071/Colquitt","FIPS/13073/Columbia","FIPS/13075/Cook","FIPS/13077/Coweta","FIPS/13079/Crawford","FIPS/13081/Crisp","FIPS/13083/Dade","FIPS/13085/Dawson","FIPS/13087/Decatur","FIPS/13089/De Kalb","FIPS/13091/Dodge","FIPS/13093/Dooly","FIPS/13095/Dougherty","FIPS/13097/Douglas","FIPS/13099/Early","FIPS/13101/Echols","FIPS/13103/Effingham","FIPS/13105/Elbert","FIPS/13107/Emanuel","FIPS/13109/Evans","FIPS/13111/Fannin","FIPS/13113/Fayette","FIPS/13115/Floyd","FIPS/13117/Forsyth","FIPS/13119/Franklin","FIPS/13121/Fulton","FIPS/13123/Gilmer","FIPS/13125/Glascock","FIPS/13127/Glynn","FIPS/13129/Gordon","FIPS/13131/Grady","FIPS/13133/Greene","FIPS/13135/Gwinnett","FIPS/13137/Habersham","FIPS/13139/Hall","FIPS/13141/Hancock","FIPS/13143/Haralson","FIPS/13145/Harris","FIPS/13147/Hart","FIPS/13149/Heard","FIPS/13151/Henry","FIPS/13153/Houston","FIPS/13155/Irwin","FIPS/13157/Jackson","FIPS/13159/Jasper","FIPS/13161/Jeff Davis","FIPS/13163/Jefferson","FIPS/13165/Jenkins","FIPS/13167/Johnson","FIPS/13169/Jones","FIPS/13171/Lamar","FIPS/13173/Lanier","FIPS/13175/Laurens","FIPS/13177/Lee","FIPS/13179/Liberty","FIPS/13181/Lincoln","FIPS/13183/Long","FIPS/13185/Lowndes","FIPS/13187/Lumpkin","FIPS/13189/McDuffie","FIPS/13191/McIntosh","FIPS/13193/Macon","FIPS/13195/Madison","FIPS/13197/Marion","FIPS/13199/Meriwether","FIPS/13201/Miller","FIPS/13205/Mitchell","FIPS/13207/Monroe","FIPS/13209/Montgomery","FIPS/13211/Morgan","FIPS/13213/Murray","FIPS/13215/Muscogee","FIPS/13217/Newton","FIPS/13219/Oconee","FIPS/13221/Oglethorpe","FIPS/13223/Paulding","FIPS/13225/Peach","FIPS/13227/Pickens","FIPS/13229/Pierce","FIPS/13231/Pike","FIPS/13233/Polk","FIPS/13235/Pulaski","FIPS/13237/Putnam","FIPS/13239/Quitman","FIPS/13241/Rabun","FIPS/13243/Randolph","FIPS/13245/Richmond","FIPS/13247/Rockdale","FIPS/13249/Schley","FIPS/13251/Screven","FIPS/13253/Seminole","FIPS/13255/Spalding","FIPS/13257/Stephens","FIPS/13259/Stewart","FIPS/13261/Sumter","FIPS/13263/Talbot","FIPS/13265/Taliaferro","FIPS/13267/Tattnall","FIPS/13269/Taylor","FIPS/13271/Telfair","FIPS/13273/Terrell","FIPS/13275/Thomas","FIPS/13277/Tift","FIPS/13279/Toombs","FIPS/13281/Towns","FIPS/13283/Treutlen","FIPS/13285/Troup","FIPS/13287/Turner","FIPS/13289/Twiggs","FIPS/13291/Union","FIPS/13293/Upson","FIPS/13295/Walker","FIPS/13297/Walton","FIPS/13299/Ware","FIPS/13301/Warren","FIPS/13303/Washington","FIPS/13305/Wayne","FIPS/13307/Webster","FIPS/13309/Wheeler","FIPS/13311/White","FIPS/13313/Whitfield","FIPS/13315/Wilcox","FIPS/13317/Wilkes","FIPS/13319/Wilkinson","FIPS/13321/Worth"
"1","11",329,71,271,89,15,411,39,85,366,188,124,73,64,428,16,561,198,18,112,38,55,156,29,116,2528,0,53,79,479,41,77,260,54,519,1073,30,143,219,97,208,11,18,506,68,61,111,340,45,217,429,143,36,90,142,12,80,161,81,161,153,39,14,167,161,613,138,1172,142,967,10,20,17,93,90,49,220,138,238,82,285,265,22,46,88,60,109,101,159,28,108,25,1056,50,68,18,143,36,55,132,34,400,152,100,133,44,958,44,162,158,30,384,85,210,22,22,143,314,11,28,249,860,52,10,241,266,161,20,74,441,32,5,757,30,126,124,778,444,635,18,35,105,127,79,109,13,12,100,231,11,70,97,22,119,183,130,36,106,63,296
"2","21",0,10,19,0,0,0,13,111,0,0,24,0,9,0,0,51,0,0,12,0,0,65,14,18,900,0,0,45,317,0,121,0,90,0,0,9,13,51,30,20,0,0,26,198,0,0,0,52,0,0,30,181,0,0,0,139,24,83,0,187,55,0,128,0,0,37,1178,24,281,24,0,0,0,0,84,24,0,28,0,0,357,0,0,26,0,0,20,18,0,0,20,83,29,53,12,19,33,15,0,0,16,47,0,0,29,557,0,21,88,35,0,44,0,9,34,0,0,0,11,0,499,0,0,0,0,76,24,0,77,98,0,0,14,0,0,63,0,0,43,0,36,0,61,127,0,0,16,0,38,201,0,15,0,0,153,0,14,1020,0
"3","22",174,0,33,0,61,0,56,157,24,31,251,0,0,22,21,351,174,74,0,39,84,287,24,31,371,24,61,47,1388,0,1166,37,1063,50,134,46,46,377,0,0,23,60,134,915,36,56,334,45,35,24,105,0,0,0,24,87,307,177,79,3236,63,0,1014,42,25,65,466,165,160,83,24,26,140,124,440,244,31,145,0,52,138,40,0,89,87,0,103,0,162,24,0,156,30,62,0,32,32,0,19,0,28,247,0,20,25,237,83,73,21,30,0,77,0,30,89,19,165,0,49,19,221,109,0,0,14,0,40,26,89,12,0,85,96,0,0,30,137,127,38,0,61,0,0,12,47,0,178,63,0,43,39,0,35,78,186,16,24,35,15
"4","23",405,8,41,4,233,176,1196,1819,54,85,1997,200,172,69,578,1060,1261,184,23,451,207,2398,607,51,5867,63,179,4966,1533,15,3125,25,25256,990,445,2217,223,1519,99,158,81,232,280,10107,136,73,1921,1924,108,26,528,168,115,176,291,3033,803,6345,112,19495,186,4,1345,744,204,785,19940,378,4006,18,452,355,249,151,1955,1137,101,1057,109,21,193,40,45,491,60,28,780,691,414,184,97,2505,349,381,65,28,281,17,313,44,87,433,48,250,100,3020,1448,553,204,2224,421,374,337,403,309,43,417,0,301,41,3490,3528,32,141,17,543,444,17,180,185,0,202,61,69,61,449,521,473,122,26,1573,7,118,252,188,225,2439,448,13,297,585,0,38,624,1162,35,171,264,149
"5","31-33",707,997,969,0,1419,340,2107,9570,1250,1019,5915,57,153,223,495,1982,619,1137,41,865,87,7119,1497,306,14961,47,2840,4854,5897,0,4132,781,18908,3235,2704,2668,541,4993,28,920,644,995,808,13450,461,442,3263,4119,789,24,1431,1794,1601,1897,329,3956,6381,7763,1389,29945,1354,0,1989,7924,1118,494,26373,3854,19988,82,1807,880,1844,603,2814,5648,178,5577,467,1290,958,55,128,47,576,156,2166,361,2107,90,34,4064,937,1653,40,547,226,237,1081,31,2161,153,74,1122,3624,6434,4919,619,146,983,2767,835,377,380,3326,76,645,69,435,37,7862,4181,318,846,195,2518,2227,51,1230,0,21,194,62,403,420,2411,1310,1380,374,69,11905,272,105,344,1271,4459,3030,1906,402,582,1208,26,0,803,20919,31,616,134,320
"6","42",236,93,78,16,116,138,2062,1890,120,138,2382,36,257,531,315,1339,631,115,60,299,142,1218,251,64,5943,6,108,2203,3353,8,6396,97,25153,612,471,654,82,1470,25,519,51,160,447,12091,96,160,1640,1839,401,29,178,433,281,54,265,2383,1587,5323,286,39843,125,5,2482,1184,179,196,31243,229,4536,11,258,141,112,38,3560,654,31,1263,47,264,155,20,24,128,64,17,381,521,71,43,0,1141,122,120,105,99,57,7,331,162,174,203,166,606,458,2236,644,367,27,485,203,155,449,128,184,214,136,0,25,39,2767,1182,84,14,82,737,193,9,442,10,3,293,12,101,241,882,1230,608,59,47,1205,295,27,170,28,254,1640,420,387,167,83,13,27,221,3354,12,86,64,159
"7","44-45",1344,145,394,35,2270,687,3275,3993,735,396,10933,433,205,281,1368,3424,729,936,134,2113,430,5115,3140,207,19027,76,779,10322,8456,45,10643,160,42231,2001,2283,5692,614,6086,84,1213,496,3332,1275,34183,710,304,6043,7344,444,14,1174,623,752,394,1272,6743,5194,8706,931,61914,1139,24,5210,2266,781,661,48886,1775,8599,84,665,290,933,80,10352,7076,208,2770,216,577,583,141,157,497,416,217,2507,785,2318,161,114,6720,935,948,219,236,419,74,450,207,770,843,147,980,975,10869,3111,1433,113,4393,960,1152,511,348,1724,300,745,87,984,204,10919,4549,69,385,246,2727,1172,48,1341,34,8,542,160,317,343,2260,2787,1703,384,206,3445,276,280,1151,981,1332,2608,2479,96,732,1145,63,67,1195,5114,126,360,157,506
"8","48-49",513,86,409,29,236,75,597,2541,391,180,3673,72,134,80,287,1473,507,616,59,231,139,2284,644,190,12234,37,120,1437,9198,31,43895,80,12960,1501,1332,598,234,946,50,402,87,313,624,13913,403,214,2528,3412,266,67,563,143,242,166,365,1411,852,2852,1068,47828,332,43,1499,1234,410,256,10136,447,3364,74,336,161,77,47,4418,723,103,3196,52,279,283,52,77,196,104,65,841,138,888,113,85,3371,172,199,119,87,160,79,209,78,234,403,118,230,222,2050,1452,432,51,1551,623,402,290,156,413,56,350,56,60,164,3028,574,7,77,178,434,357,106,697,54,12,475,128,124,82,314,1099,328,65,61,2597,70,233,427,89,232,1650,674,39,639,316,109,57,416,3144,223,236,334,109
"9","51",41,0,57,0,95,9,118,297,52,13,1563,0,26,16,30,272,25,17,0,110,100,666,138,18,2300,27,26,660,1344,9,744,54,12507,106,89,241,39,792,15,38,31,60,75,10027,44,0,698,195,41,0,27,36,53,62,20,471,728,997,145,52032,126,0,409,69,43,89,9830,455,604,46,40,23,171,28,584,211,35,135,38,30,46,0,0,22,37,19,185,50,77,0,0,1714,24,81,23,37,27,29,33,18,48,20,0,74,14,1160,426,124,24,209,64,61,30,34,63,22,53,0,31,20,1911,945,0,45,16,160,92,15,91,0,6,31,41,22,40,94,222,93,51,0,462,19,30,125,43,69,166,156,12,41,82,14,40,103,194,9,40,60,17
"10","52",130,59,150,11,319,12,246,666,179,103,7800,116,24,79,240,504,127,102,35,522,190,627,433,88,3029,20,83,1566,1965,9,1413,26,15295,281,375,617,89,723,37,268,91,155,313,12628,127,188,1009,1129,169,7,145,296,251,60,187,897,865,1534,121,53480,136,6,657,372,122,182,17472,306,2368,35,146,75,134,22,1038,1025,69,359,51,81,101,101,47,195,107,48,446,131,331,45,29,989,99,128,14,47,95,28,82,89,144,160,40,182,164,9929,410,363,43,344,110,226,101,67,137,70,129,20,122,37,1642,981,6,102,78,438,191,29,215,14,6,165,35,91,89,737,408,257,63,33,953,84,16,142,188,443,444,358,3,181,202,5,19,144,593,31,104,59,90
