"","NAICS2","FIPS/13001/Appling","FIPS/13003/Atkinson","FIPS/13005/Bacon","FIPS/13007/Baker","FIPS/13009/Baldwin","FIPS/13011/Banks","FIPS/13013/Barrow","FIPS/13015/Bartow","FIPS/13017/Ben Hill","FIPS/13019/Berrien","FIPS/13021/Bibb","FIPS/13023/Bleckley","FIPS/13025/Brantley","FIPS/13027/Brooks","FIPS/13029/Bryan","FIPS/13031/Bulloch","FIPS/13033/Burke","FIPS/13035/Butts","FIPS/13037/Calhoun","FIPS/13039/Camden","FIPS/13043/Candler","FIPS/13045/Carroll","FIPS/13047/Catoosa","FIPS/13049/Charlton","FIPS/13051/Chatham","FIPS/13053/Chattahoochee","FIPS/13055/Chattooga","FIPS/13057/Cherokee","FIPS/13059/Clarke","FIPS/13061/Clay","FIPS/13063/Clayton","FIPS/13065/Clinch","FIPS/13067/Cobb","FIPS/13069/Coffee","FIPS/13071/Colquitt","FIPS/13073/Columbia","FIPS/13075/Cook","FIPS/13077/Coweta","FIPS/13079/Crawford","FIPS/13081/Crisp","FIPS/13083/Dade","FIPS/13085/Dawson","FIPS/13087/Decatur","FIPS/13089/De Kalb","FIPS/13091/Dodge","FIPS/13093/Dooly","FIPS/13095/Dougherty","FIPS/13097/Douglas","FIPS/13099/Early","FIPS/13101/Echols","FIPS/13103/Effingham","FIPS/13105/Elbert","FIPS/13107/Emanuel","FIPS/13109/Evans","FIPS/13111/Fannin","FIPS/13113/Fayette","FIPS/13115/Floyd","FIPS/13117/Forsyth","FIPS/13119/Franklin","FIPS/13121/Fulton","FIPS/13123/Gilmer","FIPS/13125/Glascock","FIPS/13127/Glynn","FIPS/13129/Gordon","FIPS/13131/Grady","FIPS/13133/Greene","FIPS/13135/Gwinnett","FIPS/13137/Habersham","FIPS/13139/Hall","FIPS/13141/Hancock","FIPS/13143/Haralson","FIPS/13145/Harris","FIPS/13147/Hart","FIPS/13149/Heard","FIPS/13151/Henry","FIPS/13153/Houston","FIPS/13155/Irwin","FIPS/13157/Jackson","FIPS/13159/Jasper","FIPS/13161/Jeff Davis","FIPS/13163/Jefferson","FIPS/13165/Jenkins","FIPS/13167/Johnson","FIPS/13169/Jones","FIPS/13171/Lamar","FIPS/13173/Lanier","FIPS/13175/Laurens","FIPS/13177/Lee","FIPS/13179/Liberty","FIPS/13181/Lincoln","FIPS/13183/Long","FIPS/13185/Lowndes","FIPS/13187/Lumpkin","FIPS/13189/McDuffie","FIPS/13191/McIntosh","FIPS/13193/Macon","FIPS/13195/Madison","FIPS/13197/Marion","FIPS/13199/Meriwether","FIPS/13201/Miller","FIPS/13205/Mitchell","FIPS/13207/Monroe","FIPS/13209/Montgomery","FIPS/13211/Morgan","FIPS/13213/Murray","FIPS/13215/Muscogee","FIPS/13217/Newton","FIPS/13219/Oconee","FIPS/13221/Oglethorpe","FIPS/13223/Paulding","FIPS/13225/Peach","FIPS/13227/Pickens","FIPS/13229/Pierce","FIPS/13231/Pike","FIPS/13233/Polk","FIPS/13235/Pulaski","FIPS/13237/Putnam","FIPS/13239/Quitman","FIPS/13241/Rabun","FIPS/13243/Randolph","FIPS/13245/Richmond","FIPS/13247/Rockdale","FIPS/13249/Schley","FIPS/13251/Screven","FIPS/13253/Seminole","FIPS/13255/Spalding","FIPS/13257/Stephens","FIPS/13259/Stewart","FIPS/13261/Sumter","FIPS/13263/Talbot","FIPS/13265/Taliaferro","FIPS/13267/Tattnall","FIPS/13269/Taylor","FIPS/13271/Telfair","FIPS/13273/Terrell","FIPS/13275/Thomas","FIPS/13277/Tift","FIPS/13279/Toombs","FIPS/13281/Towns","FIPS/13283/Treutlen","FIPS/13285/Troup","FIPS/13287/Turner","FIPS/13289/Twiggs","FIPS/13291/Union","FIPS/13293/Upson","FIPS/13295/Walker","FIPS/13297/Walton","FIPS/13299/Ware","FIPS/13301/Warren","FIPS/13303/Washington","FIPS/13305/Wayne","FIPS/13307/Webster","FIPS/13309/Wheeler","FIPS/13311/White","FIPS/13313/Whitfield","FIPS/13315/Wilcox","FIPS/13317/Wilkes","FIPS/13319/Wilkinson","FIPS/13321/Worth"
"11","53",10,9,5,8,112,6,157,352,28,13,1281,17,7,6,93,412,19,35,3,213,6,286,172,5,2171,7,25,727,1081,5,1561,3,6295,106,140,393,14,301,4,112,20,121,123,4597,30,23,463,497,20,3,83,17,25,8,104,478,352,694,14,22474,60,6,439,94,25,39,6161,99,559,17,16,29,23,15,852,331,9,1182,8,14,47,12,6,7,6,19,124,55,322,24,29,812,51,25,4,19,33,10,22,14,55,38,14,47,28,1514,165,232,14,287,88,158,15,10,39,6,35,7,43,10,939,436,6,4,14,193,61,4,99,4,2,14,6,17,16,117,206,34,88,3,187,5,8,49,25,32,136,102,7,24,52,0,14,61,346,7,3,10,12
"12","54",56,16,56,7,174,47,569,1076,48,63,2690,26,10,30,273,1799,4185,108,11,520,85,1690,201,23,5172,675,79,2713,1731,32,1591,21,32005,234,495,1549,75,919,42,165,98,294,129,18308,138,17,2188,936,66,0,503,107,155,61,201,2179,717,6422,96,97635,146,7,1008,272,122,127,27768,413,1810,15,157,151,236,27,1326,3411,68,1016,56,45,50,6,10,114,59,10,335,168,571,31,18,1416,191,158,42,21,65,10,32,41,212,344,22,186,117,4165,514,771,31,560,126,201,134,50,156,41,190,0,126,27,4334,830,4,59,71,362,106,4,268,4,0,171,26,27,32,403,332,376,52,12,743,55,4,145,110,407,570,456,16,125,213,0,6,159,2624,9,38,26,47
"13","55",0,0,36,0,22,0,147,45,26,68,2092,0,0,0,12,381,63,27,0,71,0,249,26,0,839,0,0,46,332,0,341,0,12036,78,145,435,25,50,0,37,0,33,50,7333,78,0,280,176,39,0,143,26,42,0,26,204,30,496,73,21173,0,0,68,14,24,0,10671,179,923,0,27,28,0,0,451,123,0,104,0,56,60,0,0,49,35,0,259,34,165,0,0,206,55,34,22,0,17,0,0,0,31,45,22,43,83,1279,239,679,0,53,0,21,37,17,0,0,90,0,21,0,223,42,0,0,0,8,647,0,146,0,0,53,43,110,0,26,88,44,0,0,250,0,0,159,0,45,8,222,0,187,101,0,0,42,561,0,0,0,16
"14","56",59,17,131,0,641,378,784,1520,423,107,5291,77,30,27,213,683,256,139,20,636,37,2138,359,108,11887,617,88,3107,3641,8,11610,112,32924,992,513,2397,113,2336,22,324,13,193,147,20048,166,31,3988,3924,122,0,516,47,162,155,306,1289,1517,6216,264,80143,159,0,2156,1555,138,286,28332,443,5258,102,169,215,353,109,5163,2044,61,2328,85,64,89,137,32,92,95,23,1150,1067,635,24,33,2366,465,182,60,22,122,27,75,79,123,572,62,429,775,5012,2180,658,55,1234,317,303,123,94,538,46,194,0,178,17,9219,1881,52,72,71,2696,314,25,491,24,0,139,36,100,14,2643,1049,760,15,34,5701,33,17,541,223,415,1316,686,32,242,145,0,51,590,1758,24,69,87,44
"15","61",655,291,342,31,2653,548,1984,2826,611,144,6007,507,595,380,1272,2055,889,537,156,1343,194,3021,1882,216,6586,147,610,6484,4425,25,7974,228,23196,1587,1378,4034,546,3732,323,865,648,466,956,38362,165,502,4652,4016,502,36,1727,517,889,386,675,3774,4092,6269,672,68283,661,30,1544,1394,758,481,28890,1993,6723,128,871,762,561,267,6520,4877,281,2029,106,320,380,61,248,1024,566,211,1615,1021,2139,147,52,5291,613,631,315,339,912,240,568,296,681,770,200,605,895,7050,3222,1243,365,3440,1037,776,153,564,1015,384,506,35,491,255,7402,2951,64,485,252,2353,558,122,1532,38,16,688,244,282,295,1986,4053,1190,174,190,2691,104,300,780,646,1710,2448,1072,169,726,592,40,53,738,3023,232,256,274,549
"16","62",1037,61,257,37,3025,104,1637,2852,374,281,15701,204,148,328,819,3633,1098,541,94,1172,359,5570,1633,53,20856,131,342,6800,11269,109,9262,99,38819,2353,1180,3992,610,5492,175,1197,323,742,1177,48830,1029,335,8185,4499,319,36,944,450,984,263,682,6710,8458,8596,727,91223,477,40,5643,1907,488,711,31188,777,13285,207,466,512,416,112,6951,7311,199,1271,328,286,306,186,341,998,386,100,4177,567,2558,45,85,5604,1641,868,42,256,194,113,582,273,535,564,110,331,510,16999,2092,1313,127,2960,703,1384,432,159,1030,854,537,35,513,321,26356,4241,53,266,410,4891,1370,368,1548,36,10,575,383,258,180,3764,1714,1800,566,152,3430,174,187,799,1309,934,2323,2783,87,881,775,26,53,889,5926,43,307,153,195
"17","71",32,6,14,0,139,82,37,619,18,11,623,21,11,12,72,173,42,28,0,74,31,233,271,14,2068,9,37,1181,701,6,225,7,4533,97,60,401,25,505,0,25,17,159,29,3786,14,41,302,434,26,0,19,28,18,10,92,753,211,1155,5,16190,34,7,1222,65,17,69,3483,38,1011,0,37,46,111,0,655,542,23,136,28,0,10,0,0,23,10,0,106,27,159,15,0,991,92,30,15,12,11,0,21,0,8,87,0,34,19,910,210,154,0,192,23,20,36,11,33,14,18,0,89,7,2082,134,0,10,10,109,102,10,46,0,0,16,25,19,17,142,37,62,52,0,233,0,20,32,13,357,98,123,0,31,101,0,13,102,288,0,0,26,12
"18","72",805,45,189,10,1851,924,2134,3975,399,289,8573,199,102,122,1304,3451,774,529,32,1920,478,4605,2402,170,21783,74,293,7134,8211,0,11785,124,34523,1271,988,4117,380,4626,31,953,261,1318,598,23960,403,317,5105,4858,402,0,798,382,488,228,923,6147,3802,6842,886,81733,1090,31,7517,1478,307,1052,32725,1554,6835,22,420,399,550,39,8041,7087,80,1430,126,218,369,143,29,254,391,159,1781,268,2377,111,53,6064,1223,535,338,231,121,37,278,182,283,609,151,1143,553,11030,2279,1349,51,3462,762,907,481,86,1165,178,632,12,847,154,11088,3448,25,163,122,2414,649,67,1014,6,5,439,41,472,144,1668,2530,891,696,36,2579,224,165,670,796,860,2285,1630,22,531,1155,0,54,1420,3293,16,221,73,180
"19","81",132,20,46,4,312,66,408,667,113,41,1766,34,26,275,313,444,105,163,7,302,50,697,486,28,4514,10,65,1974,1750,17,1758,19,9465,272,398,1142,68,990,28,129,163,190,232,8733,91,49,1781,986,45,3,432,88,75,62,173,1884,880,1872,278,23574,207,3,1151,189,124,91,8860,163,1666,9,151,48,79,24,1253,951,16,406,15,56,78,15,29,73,76,9,306,149,458,20,10,1110,94,179,69,40,32,12,126,24,73,144,3,283,112,2631,413,484,22,590,152,288,63,20,355,14,87,9,187,15,2704,697,27,82,71,474,158,13,189,15,2,53,28,57,20,582,399,259,17,23,523,15,22,125,213,342,387,629,13,106,186,4,3,217,836,7,53,62,100
"20","92",351,162,400,140,1603,320,850,1663,185,391,3791,582,274,196,535,1390,529,1023,254,3059,232,1561,634,354,8632,175,507,2396,4073,150,5224,129,9891,681,770,1856,322,1661,183,571,277,195,761,15914,869,842,2808,1691,410,51,269,422,488,363,380,1018,2210,355,631,40882,534,206,2307,507,565,302,7343,895,2542,577,474,424,375,301,1964,15767,276,1708,403,232,415,302,294,194,399,249,914,432,2746,150,294,3235,403,500,208,550,207,100,466,153,747,1491,258,349,431,5389,532,323,117,417,654,219,315,263,415,334,408,47,464,267,7246,1039,218,366,159,1340,386,272,763,170,93,908,110,818,269,1070,894,558,283,177,926,353,556,519,315,829,888,1200,152,936,769,138,481,513,1724,283,245,552,367
