"","NAICS2","FIPS/13001/Appling","FIPS/13003/Atkinson","FIPS/13005/Bacon","FIPS/13007/Baker","FIPS/13009/Baldwin","FIPS/13011/Banks","FIPS/13013/Barrow","FIPS/13015/Bartow","FIPS/13017/Ben Hill","FIPS/13019/Berrien","FIPS/13021/Bibb","FIPS/13023/Bleckley","FIPS/13025/Brantley","FIPS/13027/Brooks","FIPS/13029/Bryan","FIPS/13031/Bulloch","FIPS/13033/Burke","FIPS/13035/Butts","FIPS/13037/Calhoun","FIPS/13039/Camden","FIPS/13043/Candler","FIPS/13045/Carroll","FIPS/13047/Catoosa","FIPS/13049/Charlton","FIPS/13051/Chatham","FIPS/13053/Chattahoochee","FIPS/13055/Chattooga","FIPS/13057/Cherokee","FIPS/13059/Clarke","FIPS/13061/Clay","FIPS/13063/Clayton","FIPS/13065/Clinch","FIPS/13067/Cobb","FIPS/13069/Coffee","FIPS/13071/Colquitt","FIPS/13073/Columbia","FIPS/13075/Cook","FIPS/13077/Coweta","FIPS/13079/Crawford","FIPS/13081/Crisp","FIPS/13083/Dade","FIPS/13085/Dawson","FIPS/13087/Decatur","FIPS/13089/De Kalb","FIPS/13091/Dodge","FIPS/13093/Dooly","FIPS/13095/Dougherty","FIPS/13097/Douglas","FIPS/13099/Early","FIPS/13101/Echols","FIPS/13103/Effingham","FIPS/13105/Elbert","FIPS/13107/Emanuel","FIPS/13109/Evans","FIPS/13111/Fannin","FIPS/13113/Fayette","FIPS/13115/Floyd","FIPS/13117/Forsyth","FIPS/13119/Franklin","FIPS/13121/Fulton","FIPS/13123/Gilmer","FIPS/13125/Glascock","FIPS/13127/Glynn","FIPS/13129/Gordon","FIPS/13131/Grady","FIPS/13133/Greene","FIPS/13135/Gwinnett","FIPS/13137/Habersham","FIPS/13139/Hall","FIPS/13141/Hancock","FIPS/13143/Haralson","FIPS/13145/Harris","FIPS/13147/Hart","FIPS/13149/Heard","FIPS/13151/Henry","FIPS/13153/Houston","FIPS/13155/Irwin","FIPS/13157/Jackson","FIPS/13159/Jasper","FIPS/13161/Jeff Davis","FIPS/13163/Jefferson","FIPS/13165/Jenkins","FIPS/13167/Johnson","FIPS/13169/Jones","FIPS/13171/Lamar","FIPS/13173/Lanier","FIPS/13175/Laurens","FIPS/13177/Lee","FIPS/13179/Liberty","FIPS/13181/Lincoln","FIPS/13183/Long","FIPS/13185/Lowndes","FIPS/13187/Lumpkin","FIPS/13189/McDuffie","FIPS/13191/McIntosh","FIPS/13193/Macon","FIPS/13195/Madison","FIPS/13197/Marion","FIPS/13199/Meriwether","FIPS/13201/Miller","FIPS/13205/Mitchell","FIPS/13207/Monroe","FIPS/13209/Montgomery","FIPS/13211/Morgan","FIPS/13213/Murray","FIPS/13215/Muscogee","FIPS/13217/Newton","FIPS/13219/Oconee","FIPS/13221/Oglethorpe","FIPS/13223/Paulding","FIPS/13225/Peach","FIPS/13227/Pickens","FIPS/13229/Pierce","FIPS/13231/Pike","FIPS/13233/Polk","FIPS/13235/Pulaski","FIPS/13237/Putnam","FIPS/13239/Quitman","FIPS/13241/Rabun","FIPS/13243/Randolph","FIPS/13245/Richmond","FIPS/13247/Rockdale","FIPS/13249/Schley","FIPS/13251/Screven","FIPS/13253/Seminole","FIPS/13255/Spalding","FIPS/13257/Stephens","FIPS/13259/Stewart","FIPS/13261/Sumter","FIPS/13263/Talbot","FIPS/13265/Taliaferro","FIPS/13267/Tattnall","FIPS/13269/Taylor","FIPS/13271/Telfair","FIPS/13273/Terrell","FIPS/13275/Thomas","FIPS/13277/Tift","FIPS/13279/Toombs","FIPS/13281/Towns","FIPS/13283/Treutlen","FIPS/13285/Troup","FIPS/13287/Turner","FIPS/13289/Twiggs","FIPS/13291/Union","FIPS/13293/Upson","FIPS/13295/Walker","FIPS/13297/Walton","FIPS/13299/Ware","FIPS/13301/Warren","FIPS/13303/Washington","FIPS/13305/Wayne","FIPS/13307/Webster","FIPS/13309/Wheeler","FIPS/13311/White","FIPS/13313/Whitfield","FIPS/13315/Wilcox","FIPS/13317/Wilkes","FIPS/13319/Wilkinson","FIPS/13321/Worth"
"1","11",338,66,263,67,45,416,37,83,392,140,152,96,64,432,17,554,215,23,93,33,99,158,31,91,2514,9,56,134,517,32,125,387,50,463,1260,36,177,307,93,204,5,24,528,86,72,113,335,43,215,460,167,39,152,128,4,22,89,70,165,194,24,11,351,106,632,335,1494,115,933,9,15,28,88,50,88,249,149,236,17,281,266,26,58,107,87,281,100,156,66,110,32,1125,116,90,18,126,58,51,104,40,377,150,111,128,43,776,56,154,171,41,392,87,181,20,20,138,336,10,29,262,1021,93,13,274,281,90,30,61,372,40,16,799,39,106,118,836,518,675,35,28,100,169,47,75,14,67,107,285,8,73,93,32,111,81,158,32,113,65,296
"2","21",0,7,18,0,0,0,29,99,0,18,47,0,8,0,0,45,0,0,10,0,0,92,12,13,777,0,0,42,136,0,116,0,84,0,0,9,16,52,31,20,0,0,24,200,0,0,0,50,0,0,56,194,0,0,0,71,26,84,0,345,76,9,232,0,0,8,1211,23,261,22,0,0,0,13,100,24,0,52,0,0,322,0,0,25,16,0,18,19,0,0,19,83,89,84,11,14,21,13,0,0,15,43,0,0,14,540,15,19,86,31,0,60,0,8,48,0,0,0,10,0,711,106,0,0,0,35,24,0,43,86,0,0,16,0,0,66,0,0,83,0,66,0,44,75,0,27,13,0,28,200,0,13,0,14,147,0,12,1085,0
"3","22",204,11,61,0,135,0,76,97,25,63,247,0,0,26,27,310,173,92,17,51,67,211,41,22,336,37,58,48,937,14,1014,33,1149,51,130,44,55,380,0,0,22,27,162,933,69,50,75,58,0,18,129,0,32,26,18,92,388,209,73,3205,66,0,121,39,30,37,488,155,158,74,27,47,139,114,386,283,33,183,0,54,137,69,0,86,87,31,94,33,170,22,0,167,27,72,37,24,54,23,18,0,50,227,0,18,25,248,76,66,17,55,0,105,33,27,84,26,166,0,51,17,222,111,0,0,24,0,41,25,75,11,0,108,80,42,18,29,147,131,48,0,58,20,0,13,58,0,143,67,16,80,39,0,35,70,187,14,21,23,12
"4","23",401,5,47,3,629,178,1145,1732,55,80,2010,163,163,67,508,1045,103,197,15,478,193,2166,584,50,5466,43,191,4270,1554,13,3108,25,24534,1022,429,2172,225,1352,96,161,86,241,280,10110,126,67,1882,1860,111,20,449,91,98,208,280,3082,739,6379,106,18578,191,3,1282,710,215,741,18355,385,3584,16,389,324,262,151,1888,1062,110,1019,88,23,187,23,59,509,49,25,772,740,684,210,35,2372,280,346,62,34,278,27,273,47,79,444,37,263,99,2922,1414,484,160,2153,400,328,328,361,351,63,411,0,300,54,3648,3073,28,141,13,512,552,11,212,222,2,207,723,69,60,458,515,468,125,35,1535,10,101,249,233,208,2447,447,9,288,583,5,36,601,1046,32,158,239,155
"5","31-33",640,927,1023,0,1503,285,2082,9635,1373,970,6067,40,173,228,472,1913,649,1102,51,774,94,6832,1310,297,14913,110,2689,4494,5822,0,4022,793,18126,3036,2623,2649,469,4840,38,878,623,1001,752,13292,411,500,3193,4001,767,18,1380,1801,1631,1892,375,3601,6241,7626,1488,29162,1328,0,1951,6817,592,458,25905,4004,19258,73,1734,883,1734,599,3049,5966,157,5559,404,1395,883,45,122,48,626,151,2086,281,1873,77,32,3953,827,1529,55,517,212,259,939,26,2301,169,71,1130,4766,6135,4557,572,129,927,2588,806,432,395,3203,127,503,58,433,34,7576,4325,304,837,201,2542,2134,49,1349,0,18,179,62,337,398,3010,1195,1242,114,67,11516,317,75,329,1234,4356,2722,1709,432,583,1204,21,0,802,20403,28,612,141,346
"6","42",330,110,87,12,130,158,2210,1854,134,137,2268,51,215,441,263,1165,641,95,61,339,130,1191,262,55,5442,0,113,2042,3294,7,6811,92,24158,639,495,562,93,1462,21,502,44,171,379,12246,121,145,1605,2382,403,31,209,443,275,47,259,2261,1576,5346,246,38780,87,4,1253,1106,259,130,30774,202,4364,19,274,72,208,29,3561,681,29,1185,35,283,144,16,24,158,72,16,396,388,99,52,9,1059,196,141,81,98,44,24,350,147,202,216,237,264,407,2480,717,440,27,476,205,131,425,114,173,207,129,0,26,36,2752,1205,81,37,91,712,226,19,304,9,2,291,14,96,231,902,1256,643,88,59,1205,229,20,149,83,163,1177,422,370,157,83,11,28,141,3497,7,78,53,173
"7","44-45",1273,141,380,39,2315,667,3173,3699,724,402,10754,436,210,293,1185,3428,743,909,114,2193,443,5128,3131,194,18816,96,746,9858,8131,48,10887,166,40716,1958,1961,5496,614,5888,109,1166,455,3029,1296,34247,712,317,5884,7103,449,34,1178,596,768,390,1172,6628,5094,8388,918,61129,1142,22,5073,2252,754,658,48265,1827,8555,72,649,262,912,88,9925,6941,199,2736,194,599,579,148,151,484,436,134,2533,755,2087,139,49,6844,919,965,234,243,425,84,436,223,794,787,146,939,904,11230,3071,1400,114,4275,933,1168,510,349,1753,304,734,81,994,197,11162,4466,66,354,274,2663,1220,45,1416,31,10,559,153,313,331,2266,2741,1662,384,222,3120,265,200,1175,989,1372,3452,2405,95,734,1114,55,68,1188,6964,115,347,157,378
"8","48-49",334,95,426,43,483,44,684,2518,393,177,3652,131,130,91,355,1342,463,429,121,229,138,937,686,107,11962,31,143,1362,10037,27,41973,104,12331,1428,1201,546,275,900,58,393,97,305,515,14501,482,228,1755,2448,60,14,453,130,434,146,315,2454,765,2918,985,44801,322,56,1627,1335,419,203,9895,530,3069,68,253,249,86,42,4247,761,111,2704,50,287,261,207,138,196,94,103,861,246,1035,138,80,3336,184,213,72,135,193,59,233,54,303,421,112,233,249,1772,1478,440,52,1588,555,396,376,143,395,88,412,34,68,149,2962,592,7,83,158,415,337,60,726,27,10,452,132,377,93,292,1101,323,76,64,2542,134,203,384,84,225,1461,640,64,618,336,121,66,439,3445,175,253,306,132
"9","51",34,0,35,8,104,3,170,226,51,22,1405,0,16,17,33,251,25,26,0,115,97,726,48,25,1937,21,20,654,1205,8,755,52,10002,113,99,300,19,963,15,39,39,57,79,9896,45,0,711,172,40,0,22,34,53,43,24,420,788,893,129,49274,131,0,489,86,51,37,10050,424,628,42,37,22,119,26,573,237,38,97,57,46,46,0,0,49,30,17,189,38,83,0,0,1763,22,86,31,28,31,26,40,14,43,16,0,74,14,1143,447,116,30,192,147,58,36,24,65,29,63,0,28,20,1950,950,0,42,14,125,85,14,107,0,5,31,45,22,31,106,241,92,60,0,377,11,21,74,59,72,152,176,9,40,93,12,41,72,201,8,36,39,20
"10","52",140,59,120,8,307,19,237,655,180,102,7632,133,27,76,250,499,152,103,24,429,170,615,443,60,3260,21,86,1511,1866,8,1527,23,15419,277,371,1016,93,715,12,277,104,149,300,13342,142,185,1046,1103,134,5,159,187,177,58,158,873,866,1643,121,50656,147,5,680,344,130,182,16763,284,2284,31,154,79,128,17,996,1036,75,376,53,84,101,77,57,117,105,44,431,132,326,43,8,954,101,131,16,47,93,26,88,75,146,165,84,179,165,10056,360,367,43,341,112,227,99,66,142,94,138,17,127,29,1722,936,5,101,63,426,185,28,184,12,5,188,33,95,99,670,404,248,67,32,983,83,11,142,196,434,387,339,7,183,195,5,20,141,604,36,103,38,89
