"","NAICS2","FIPS/13001/Appling","FIPS/13003/Atkinson","FIPS/13005/Bacon","FIPS/13007/Baker","FIPS/13009/Baldwin","FIPS/13011/Banks","FIPS/13013/Barrow","FIPS/13015/Bartow","FIPS/13017/Ben Hill","FIPS/13019/Berrien","FIPS/13021/Bibb","FIPS/13023/Bleckley","FIPS/13025/Brantley","FIPS/13027/Brooks","FIPS/13029/Bryan","FIPS/13031/Bulloch","FIPS/13033/Burke","FIPS/13035/Butts","FIPS/13037/Calhoun","FIPS/13039/Camden","FIPS/13043/Candler","FIPS/13045/Carroll","FIPS/13047/Catoosa","FIPS/13049/Charlton","FIPS/13051/Chatham","FIPS/13053/Chattahoochee","FIPS/13055/Chattooga","FIPS/13057/Cherokee","FIPS/13059/Clarke","FIPS/13061/Clay","FIPS/13063/Clayton","FIPS/13065/Clinch","FIPS/13067/Cobb","FIPS/13069/Coffee","FIPS/13071/Colquitt","FIPS/13073/Columbia","FIPS/13075/Cook","FIPS/13077/Coweta","FIPS/13079/Crawford","FIPS/13081/Crisp","FIPS/13083/Dade","FIPS/13085/Dawson","FIPS/13087/Decatur","FIPS/13089/De Kalb","FIPS/13091/Dodge","FIPS/13093/Dooly","FIPS/13095/Dougherty","FIPS/13097/Douglas","FIPS/13099/Early","FIPS/13101/Echols","FIPS/13103/Effingham","FIPS/13105/Elbert","FIPS/13107/Emanuel","FIPS/13109/Evans","FIPS/13111/Fannin","FIPS/13113/Fayette","FIPS/13115/Floyd","FIPS/13117/Forsyth","FIPS/13119/Franklin","FIPS/13121/Fulton","FIPS/13123/Gilmer","FIPS/13125/Glascock","FIPS/13127/Glynn","FIPS/13129/Gordon","FIPS/13131/Grady","FIPS/13133/Greene","FIPS/13135/Gwinnett","FIPS/13137/Habersham","FIPS/13139/Hall","FIPS/13141/Hancock","FIPS/13143/Haralson","FIPS/13145/Harris","FIPS/13147/Hart","FIPS/13149/Heard","FIPS/13151/Henry","FIPS/13153/Houston","FIPS/13155/Irwin","FIPS/13157/Jackson","FIPS/13159/Jasper","FIPS/13161/Jeff Davis","FIPS/13163/Jefferson","FIPS/13165/Jenkins","FIPS/13167/Johnson","FIPS/13169/Jones","FIPS/13171/Lamar","FIPS/13173/Lanier","FIPS/13175/Laurens","FIPS/13177/Lee","FIPS/13179/Liberty","FIPS/13181/Lincoln","FIPS/13183/Long","FIPS/13185/Lowndes","FIPS/13187/Lumpkin","FIPS/13189/McDuffie","FIPS/13191/McIntosh","FIPS/13193/Macon","FIPS/13195/Madison","FIPS/13197/Marion","FIPS/13199/Meriwether","FIPS/13201/Miller","FIPS/13205/Mitchell","FIPS/13207/Monroe","FIPS/13209/Montgomery","FIPS/13211/Morgan","FIPS/13213/Murray","FIPS/13215/Muscogee","FIPS/13217/Newton","FIPS/13219/Oconee","FIPS/13221/Oglethorpe","FIPS/13223/Paulding","FIPS/13225/Peach","FIPS/13227/Pickens","FIPS/13229/Pierce","FIPS/13231/Pike","FIPS/13233/Polk","FIPS/13235/Pulaski","FIPS/13237/Putnam","FIPS/13239/Quitman","FIPS/13241/Rabun","FIPS/13243/Randolph","FIPS/13245/Richmond","FIPS/13247/Rockdale","FIPS/13249/Schley","FIPS/13251/Screven","FIPS/13253/Seminole","FIPS/13255/Spalding","FIPS/13257/Stephens","FIPS/13259/Stewart","FIPS/13261/Sumter","FIPS/13263/Talbot","FIPS/13265/Taliaferro","FIPS/13267/Tattnall","FIPS/13269/Taylor","FIPS/13271/Telfair","FIPS/13273/Terrell","FIPS/13275/Thomas","FIPS/13277/Tift","FIPS/13279/Toombs","FIPS/13281/Towns","FIPS/13283/Treutlen","FIPS/13285/Troup","FIPS/13287/Turner","FIPS/13289/Twiggs","FIPS/13291/Union","FIPS/13293/Upson","FIPS/13295/Walker","FIPS/13297/Walton","FIPS/13299/Ware","FIPS/13301/Warren","FIPS/13303/Washington","FIPS/13305/Wayne","FIPS/13307/Webster","FIPS/13309/Wheeler","FIPS/13311/White","FIPS/13313/Whitfield","FIPS/13315/Wilcox","FIPS/13317/Wilkes","FIPS/13319/Wilkinson","FIPS/13321/Worth"
"11","53",13,7,4,4,104,6,141,357,29,18,1279,16,6,6,83,409,24,107,2,209,10,299,162,3,2084,21,25,692,1116,4,1461,5,6363,111,133,362,13,288,0,108,7,84,111,4152,49,43,443,491,9,3,136,14,25,11,94,467,373,703,23,21175,66,5,444,122,28,39,6127,93,574,26,17,25,21,13,818,396,10,1031,8,11,49,10,7,8,6,17,122,47,310,30,15,832,42,38,5,20,31,10,23,14,52,35,7,42,30,1388,157,216,8,275,50,145,11,11,74,11,34,6,47,10,978,477,3,7,14,192,56,7,88,3,1,35,8,17,16,128,201,38,90,3,191,5,16,52,25,28,117,124,6,20,51,0,10,59,310,6,5,9,12
"12","54",65,6,57,6,471,41,449,1047,63,57,2760,26,9,30,237,1659,3314,109,4,514,82,2464,230,9,4906,717,79,2661,1780,33,1462,27,29763,235,478,1489,66,891,35,181,103,248,139,17470,132,17,2241,789,67,0,469,100,102,54,208,2111,767,5913,91,94526,183,6,978,251,115,117,26431,415,1673,13,157,176,183,25,1248,3288,67,1071,26,48,74,5,11,165,57,10,351,230,481,27,23,1289,170,117,40,32,86,12,23,36,225,316,12,161,130,4213,474,699,27,578,126,193,149,58,162,43,202,3,98,27,4225,776,7,61,29,979,112,4,240,10,0,165,39,29,34,418,359,429,51,12,762,33,28,151,118,522,597,211,12,165,362,0,13,158,2556,8,37,25,50
"13","55",0,0,33,0,49,0,54,43,27,68,2177,0,0,0,15,336,63,25,0,71,0,522,67,0,919,0,0,53,309,0,406,18,13274,73,187,399,30,75,0,38,0,89,46,7413,75,0,254,151,114,0,175,74,0,0,20,140,147,771,69,19522,0,0,69,20,98,0,10128,210,892,0,15,26,0,0,409,159,0,99,0,58,59,0,0,47,59,0,169,36,145,0,0,202,85,0,20,0,39,0,0,0,27,41,19,38,134,1341,214,580,0,37,0,24,36,15,30,0,90,0,18,0,289,70,0,0,13,263,583,0,123,0,0,54,41,92,20,26,88,42,0,0,243,0,0,94,0,98,26,99,0,175,154,0,0,26,621,0,0,0,13
"14","56",96,11,149,0,640,221,500,1298,443,124,4582,71,38,27,302,774,366,158,11,629,43,2350,374,458,11281,610,144,3041,3084,0,10900,52,31306,1218,547,2424,217,2506,30,282,10,153,142,19434,126,28,3806,4526,172,18,634,219,125,147,217,1259,1577,6278,292,77142,127,0,2130,1582,135,214,27746,497,4738,127,120,194,361,111,4936,1725,66,1744,88,92,86,102,27,101,147,22,1204,1060,593,22,79,2498,919,154,54,23,160,68,69,72,111,842,26,489,601,4548,1722,601,82,1247,380,284,104,119,601,47,133,0,149,18,9261,2113,35,65,104,3142,340,24,400,22,0,45,26,84,36,2831,978,808,91,33,5926,20,37,342,237,333,1345,563,24,277,146,10,53,427,1673,21,70,67,70
"15","61",781,279,404,23,1475,543,1956,2633,579,144,6112,426,593,389,1263,2640,794,528,155,1360,155,3082,1806,199,6393,83,605,6281,4052,22,7884,201,23310,1631,1329,3896,296,3668,330,823,651,426,806,37866,159,486,5757,3875,449,28,1040,475,894,393,599,3696,4061,5945,601,68341,652,24,1813,1380,806,470,28183,1858,6793,114,814,755,551,278,6372,4844,284,1955,104,329,377,53,253,995,557,191,1665,766,1977,138,49,5243,494,650,312,325,940,198,620,187,766,798,210,560,911,7354,3180,1156,363,3407,909,776,150,563,1005,553,510,30,532,235,7304,2932,56,448,257,2029,632,125,1552,34,14,827,245,344,288,1876,4028,1168,221,182,2618,62,412,922,679,1697,2412,1127,186,679,887,33,54,628,3007,226,225,287,535
"16","62",939,45,265,35,3186,89,1575,2728,407,313,15717,188,140,332,539,3558,1177,515,94,1124,286,5422,1397,112,21390,40,344,6286,10904,103,9023,124,38427,2184,1272,3517,524,5506,169,1204,327,596,1248,48572,984,353,8190,4469,385,27,1127,441,807,308,985,6433,8339,8127,728,88193,613,31,6175,1785,497,668,29874,819,13007,221,644,508,429,102,6785,7146,177,1236,303,282,323,167,340,949,386,99,3995,664,2557,61,39,5575,737,938,39,218,243,104,585,206,525,531,76,324,482,17070,2166,1194,122,2568,716,1353,441,139,842,347,581,40,430,332,25893,4211,45,291,405,4450,1334,323,1621,27,10,606,368,242,154,3735,1610,1867,769,124,3415,169,248,1737,1268,961,1969,3071,72,825,769,22,72,563,5657,80,444,159,167
"17","71",54,4,15,0,116,82,46,511,18,11,541,22,5,23,73,168,42,33,6,62,25,212,263,15,1964,14,5,1192,610,5,223,6,4493,109,60,448,20,352,0,49,16,163,26,3582,14,18,326,401,26,0,12,26,22,0,64,656,211,1055,66,15251,24,6,1318,57,17,70,3492,124,975,0,44,42,108,0,639,590,36,134,29,0,10,0,0,38,17,11,103,34,162,19,0,979,66,31,13,9,19,0,19,9,12,107,0,39,18,964,192,153,6,194,23,23,47,15,50,28,23,0,79,6,1932,152,7,9,13,99,99,9,58,0,0,13,28,31,19,148,39,44,57,0,222,0,14,30,0,336,97,33,0,15,30,0,13,107,248,0,15,17,13
"18","72",966,35,188,0,1796,929,1845,3830,420,275,8467,237,144,80,1193,3347,740,474,44,1898,433,4368,2164,164,21645,133,302,7111,7992,7,11499,101,33279,1221,938,3811,469,4322,38,972,257,1159,596,22912,368,339,4875,4919,433,0,1013,400,530,194,987,5849,3684,6860,769,80097,1138,24,7405,1395,316,1016,31709,1598,6510,21,396,413,513,34,7717,6667,87,1367,133,233,379,148,27,298,404,144,1708,216,2114,105,50,6454,1325,528,314,187,140,35,284,113,238,609,148,1163,523,10831,2317,1265,54,3428,750,874,404,85,1137,252,567,10,787,144,10816,3421,28,162,126,1846,665,77,957,11,14,349,55,395,122,1619,2371,932,757,42,2509,225,99,610,683,860,2225,1633,16,518,675,0,55,1315,3346,22,183,59,186
"19","81",138,19,52,3,315,54,434,657,104,43,1793,34,27,286,314,460,74,145,3,276,54,761,398,26,4422,22,66,1882,1763,18,1927,17,8956,267,414,1160,66,994,25,156,159,167,237,8441,75,50,1685,955,44,3,411,82,63,61,161,1830,833,1701,295,23084,190,2,1160,186,123,82,8566,152,1569,13,142,63,85,23,1274,937,12,402,7,29,75,10,28,56,81,20,307,134,472,25,14,1077,75,182,62,42,37,13,145,22,83,143,8,305,94,2585,402,421,30,554,148,297,67,56,350,17,70,12,179,28,2813,649,25,80,67,442,157,16,183,17,3,50,28,52,24,565,383,259,24,21,905,32,18,124,216,327,369,710,14,122,193,6,3,209,875,4,57,71,89
"20","92",338,176,382,183,1555,318,860,1615,201,386,3751,559,280,231,653,1274,500,1018,232,2975,362,1501,685,252,8661,228,528,2358,3616,192,5421,166,9912,678,747,1835,380,1678,279,554,296,227,719,15888,862,715,2967,1722,407,100,315,367,495,349,379,404,2163,336,650,40249,522,216,3055,474,330,312,7372,852,2398,577,519,432,453,386,1791,15784,241,1511,450,219,410,271,272,189,385,283,911,409,2806,141,392,3256,608,506,219,640,237,93,431,402,790,1529,271,372,464,5455,497,361,127,390,656,201,252,311,389,450,411,75,482,251,7066,1393,250,394,156,1340,405,257,784,190,79,811,157,723,261,1111,879,530,438,210,982,393,531,362,340,889,624,1365,140,893,793,117,495,519,1717,304,265,395,360
